,text,words,keys,values
249,"Por favor, ¿cuánto cuesta una habitación doble por semana?
","['por', 'favor', 'cuánto', 'cuesta', 'una', 'habitación', 'doble', 'por', 'semana']","['por', 'favor', 'cuánto', 'cuesta', 'una', 'habitación', 'doble', 'por', 'semana']","['how', 'much', 'does', 'a', 'double', 'room', 'cost', 'per', 'week', 'please']"
250,"Despiértenme a la una y media, por favor.
","['despiértenme', 'a', 'la', 'una', 'y', 'media', 'por', 'favor']","['despiértenme', 'a', 'la', 'una', 'y', 'media', 'por', 'favor']","['wake', 'me', 'up', 'at', 'half', 'past', 'one', 'please']"
251,"Nos hemos de marchar mañana a las seis.
","['nos', 'hemos', 'de', 'marchar', 'mañana', 'a', 'las', 'seis']","['nos', 'hemos', 'de', 'marchar', 'mañana', 'a', 'las', 'seis']","['we', 'should', 'leave', 'tomorrow', 'at', 'six']"
252,"Por favor, tengo hecha una reserva.
","['por', 'favor', 'tengo', 'hecha', 'una', 'reserva']","['por', 'favor', 'tengo', 'hecha', 'una', 'reserva']","['i', 'have', 'made', 'a', 'reservation']"
253,"La habitación es demasiado ruidosa.
","['la', 'habitación', 'es', 'demasiado', 'ruidosa']","['la', 'habitación', 'es', 'demasiado', 'ruidosa']","['the', 'room', 'is', 'too', 'noisy']"
254,"Deseo que nos dé las llaves de la habitación siete dieciséis, por favor.
","['deseo', 'que', 'nos', 'dé', 'las', 'llaves', 'de', 'la', 'habitación', 'siete', 'dieciséis', 'por', 'favor']","['deseo', 'que', 'nos', 'dé', 'las', 'llaves', 'de', 'la', 'habitación', 'siete', 'dieciséis', 'por', 'favor']","['i', 'want', 'you', 'to', 'give', 'us', 'the', 'keys', 'to', 'room', 'number', 'seven', 'one', 'six', 'please']"
255,"¿Está todo apuntado?
","['está', 'todo', 'apuntado']","['está', 'todo', 'apuntado']","['is', 'everything', 'included']"
256,"Tengo reservada una habitación doble, por favor.
","['tengo', 'reservada', 'una', 'habitación', 'doble', 'por', 'favor']","['tengo', 'reservada', 'una', 'habitación', 'doble', 'por', 'favor']","['i', 'have', 'booked', 'a', 'double', 'room']"
257,"Por favor, me gustaría reservar una habitación individual hasta el veintiuno.
","['por', 'favor', 'me', 'gustaría', 'reservar', 'una', 'habitación', 'individual', 'hasta', 'el', 'veintiuno']","['por', 'favor', 'me', 'gustaría', 'reservar', 'una', 'habitación', 'individual', 'hasta', 'el', 'veintiuno']","['i', 'would', 'like', 'to', 'book', 'a', 'single', 'room', 'until', 'the', 'twentyfirst', 'please']"
258,"Por favor, ¿me puede usted despertar mañana a las tres menos cuarto?
","['por', 'favor', 'me', 'puede', 'usted', 'despertar', 'mañana', 'a', 'las', 'tres', 'menos', 'cuarto']","['por', 'favor', 'me', 'puede', 'usted', 'despertar', 'mañana', 'a', 'las', 'tres', 'menos', 'cuarto']","['can', 'you', 'wake', 'me', 'up', 'tomorrow', 'at', 'a', 'quarter', 'to', 'three', 'please']"
259,"Despiértenos a la una, por favor.
","['despiértenos', 'a', 'la', 'una', 'por', 'favor']","['despiértenos', 'a', 'la', 'una', 'por', 'favor']","['wake', 'us', 'up', 'at', 'one', 'please']"
260,"Me tengo que ir el lunes dos de julio por la tarde.
","['me', 'tengo', 'que', 'ir', 'el', 'lunes', 'dos', 'de', 'julio', 'por', 'la', 'tarde']","['me', 'tengo', 'que', 'ir', 'el', 'lunes', 'dos', 'de', 'julio', 'por', 'la', 'tarde']","['i', 'should', 'leave', 'on', 'monday', 'july', 'the', 'second', 'in', 'the', 'afternoon']"
261,"Por favor, ¿tengo que rellenar alguna hoja de registro?
","['por', 'favor', 'tengo', 'que', 'rellenar', 'alguna', 'hoja', 'de', 'registro']","['por', 'favor', 'tengo', 'que', 'rellenar', 'alguna', 'hoja', 'de', 'registro']","['should', 'i', 'fill', 'in', 'a', 'registration', 'form', 'please']"
262,"¿Podría ver alguna habitación?
","['podría', 'ver', 'alguna', 'habitación']","['podría', 'ver', 'alguna', 'habitación']","['could', 'i', 'see', 'a', 'room']"
263,"Pienso que se produjo un error en la cuenta.
","['pienso', 'que', 'se', 'produjo', 'un', 'error', 'en', 'la', 'cuenta']","['pienso', 'que', 'se', 'produjo', 'un', 'error', 'en', 'la', 'cuenta']","['i', 'think', 'that', 'there', 'was', 'an', 'error', 'in', 'the', 'bill']"
264,"La habitación es muy cara.
","['la', 'habitación', 'es', 'muy', 'cara']","['la', 'habitación', 'es', 'muy', 'cara']","['the', 'room', 'is', 'very', 'expensive']"
265,"Por favor, desearíamos que nos diera las llaves de la habitación cuatro tres.
","['por', 'favor', 'desearíamos', 'que', 'nos', 'diera', 'las', 'llaves', 'de', 'la', 'habitación', 'cuatro', 'tres']","['por', 'favor', 'desearíamos', 'que', 'nos', 'diera', 'las', 'llaves', 'de', 'la', 'habitación', 'cuatro', 'tres']","['we', 'would', 'like', 'you', 'to', 'give', 'us', 'the', 'keys', 'to', 'room', 'number', 'four', 'three', 'please']"
266,"¿Nos podría explicar la cuenta?, por favor.
","['nos', 'podría', 'explicar', 'la', 'cuenta', 'por', 'favor']","['nos', 'podría', 'explicar', 'la', 'cuenta', 'por', 'favor']","['could', 'you', 'explain', 'the', 'bill', 'for', 'us', 'please']"
267,"Por favor, ¿nos podrían dar ustedes las llaves de la doscientos veintiséis?
","['por', 'favor', 'nos', 'podrían', 'dar', 'ustedes', 'las', 'llaves', 'de', 'la', 'doscientos', 'veintiséis']","['por', 'favor', 'nos', 'podrían', 'dar', 'ustedes', 'las', 'llaves', 'de', 'la', 'doscientos', 'veintiséis']","['could', 'you', 'give', 'us', 'the', 'keys', 'to', 'room', 'number', 'two', 'two', 'six', 'please']"
268,"¿Cuánto cuesta una habitación individual, por favor?
","['cuánto', 'cuesta', 'una', 'habitación', 'individual', 'por', 'favor']","['cuánto', 'cuesta', 'una', 'habitación', 'individual', 'por', 'favor']","['how', 'much', 'does', 'a', 'single', 'room', 'cost', 'please']"
269,"¿Podríamos reservar dos habitaciones para esta noche?
","['podríamos', 'reservar', 'dos', 'habitaciones', 'para', 'esta', 'noche']","['podríamos', 'reservar', 'dos', 'habitaciones', 'para', 'esta', 'noche']","['could', 'we', 'book', 'two', 'rooms', 'for', 'tonight']"
270,"¿Nos podría despertar a la una, por favor?
","['nos', 'podría', 'despertar', 'a', 'la', 'una', 'por', 'favor']","['nos', 'podría', 'despertar', 'a', 'la', 'una', 'por', 'favor']","['could', 'you', 'wake', 'us', 'up', 'at', 'one', 'please']"
271,"Me parece que existe un problema en mi cuenta de la habitación nueve treinta y tres.
","['me', 'parece', 'que', 'existe', 'un', 'problema', 'en', 'mi', 'cuenta', 'de', 'la', 'habitación', 'nueve', 'treinta', 'y', 'tres']","['me', 'parece', 'que', 'existe', 'un', 'problema', 'en', 'mi', 'cuenta', 'de', 'la', 'habitación', 'nueve', 'treinta', 'y', 'tres']","['i', 'think', 'that', 'there', 'is', 'a', 'problem', 'in', 'my', 'bill', 'for', 'room', 'number', 'nine', 'three', 'three']"
272,"¡No!
",['no'],['no'],['no']
273,"Mi nombre es Marina Varela.
","['mi', 'nombre', 'es', 'marina', 'varela']","['mi', 'nombre', 'es', 'marina', 'varela']","['my', 'name', 'is', 'marina', 'varela']"
274,"Por favor, deseo cambiarme de habitación.
","['por', 'favor', 'deseo', 'cambiarme', 'de', 'habitación']","['por', 'favor', 'deseo', 'cambiarme', 'de', 'habitación']","['i', 'want', 'to', 'change', 'rooms', 'please']"
275,"Por favor, las llaves de la habitación número ocho veinte.
","['por', 'favor', 'las', 'llaves', 'de', 'la', 'habitación', 'número', 'ocho', 'veinte']","['por', 'favor', 'las', 'llaves', 'de', 'la', 'habitación', 'número', 'ocho', 'veinte']","['the', 'keys', 'to', 'room', 'number', 'eight', 'two', 'oh', 'please']"
276,"¿Están apuntados en el recibo los gastos?
","['están', 'apuntados', 'en', 'el', 'recibo', 'los', 'gastos']","['están', 'apuntados', 'en', 'el', 'recibo', 'los', 'gastos']","['are', 'expenses', 'included', 'in', 'the', 'bill']"
277,"Me voy hoy.
","['me', 'voy', 'hoy']","['me', 'voy', 'hoy']","['i', 'leave', 'today']"
278,"¿Les importaría darnos las llaves de la habitación?
","['les', 'importaría', 'darnos', 'las', 'llaves', 'de', 'la', 'habitación']","['les', 'importaría', 'darnos', 'las', 'llaves', 'de', 'la', 'habitación']","['would', 'you', 'mind', 'giving', 'us', 'the', 'keys', 'to', 'the', 'room']"
279,"Por favor, ¿tienen aire acondicionado las habitaciones?
","['por', 'favor', 'tienen', 'aire', 'acondicionado', 'las', 'habitaciones']","['por', 'favor', 'tienen', 'aire', 'acondicionado', 'las', 'habitaciones']","['do', 'the', 'rooms', 'have', 'air', 'conditioning', 'please']"
280,"¿Pueden subir el equipaje al coche?
","['pueden', 'subir', 'el', 'equipaje', 'al', 'coche']","['pueden', 'subir', 'el', 'equipaje', 'al', 'coche']","['can', 'you', 'put', 'the', 'luggage', 'in', 'the', 'car']"
281,"¿Les importaría darnos la llave de la habitación?
","['les', 'importaría', 'darnos', 'la', 'llave', 'de', 'la', 'habitación']","['les', 'importaría', 'darnos', 'la', 'llave', 'de', 'la', 'habitación']","['would', 'you', 'mind', 'giving', 'us', 'the', 'key', 'to', 'the', 'room']"
282,"¿Podría bajar mis maletas a mi habitación?
","['podría', 'bajar', 'mis', 'maletas', 'a', 'mi', 'habitación']","['podría', 'bajar', 'mis', 'maletas', 'a', 'mi', 'habitación']","['could', 'you', 'send', 'down', 'my', 'suitcases', 'to', 'my', 'room']"
283,"Deseo una habitación que tenga teléfono, vistas, televisión y baño a nombre de Marina Sáez.
","['deseo', 'una', 'habitación', 'que', 'tenga', 'teléfono', 'vistas', 'televisión', 'y', 'baño', 'a', 'nombre', 'de', 'marina', 'sáez']","['deseo', 'una', 'habitación', 'que', 'tenga', 'teléfono', 'vistas', 'televisión', 'y', 'baño', 'a', 'nombre', 'de', 'marina', 'sáez']","['i', 'want', 'a', 'room', 'with', 'a', 'telephone', 'a', 'view', 'a', 'tv', 'and', 'a', 'bath', 'for', 'marina', 'sáez']"
284,"Por favor, tengo la reserva de una habitación tranquila doble con vistas a la ciudad y baño a nombre de Ricardo Salsas.
","['por', 'favor', 'tengo', 'la', 'reserva', 'de', 'una', 'habitación', 'tranquila', 'doble', 'con', 'vistas', 'a', 'la', 'ciudad', 'y', 'baño', 'a', 'nombre', 'de', 'ricardo', 'salsas']","['por', 'favor', 'tengo', 'la', 'reserva', 'de', 'una', 'habitación', 'tranquila', 'doble', 'con', 'vistas', 'a', 'la', 'ciudad', 'y', 'baño', 'a', 'nombre', 'de', 'ricardo', 'salsas']","['i', 'have', 'a', 'reservation', 'for', 'a', 'quiet', 'double', 'room', 'with', 'a', 'view', 'of', 'the', 'town', 'and', 'a', 'bath', 'for', 'ricardo', 'salsas']"
285,"Por favor, ¿tenemos que firmar la hoja de registro?
","['por', 'favor', 'tenemos', 'que', 'firmar', 'la', 'hoja', 'de', 'registro']","['por', 'favor', 'tenemos', 'que', 'firmar', 'la', 'hoja', 'de', 'registro']","['should', 'we', 'sign', 'the', 'registration', 'form', 'please']"
286,"¿Nos podrían despertar mañana a las seis y media?
","['nos', 'podrían', 'despertar', 'mañana', 'a', 'las', 'seis', 'y', 'media']","['nos', 'podrían', 'despertar', 'mañana', 'a', 'las', 'seis', 'y', 'media']","['could', 'you', 'wake', 'us', 'up', 'tomorrow', 'at', 'half', 'past', 'six']"
287,"He de marcharme el viernes diecinueve de abril a las nueve de la noche.
","['he', 'de', 'marcharme', 'el', 'viernes', 'diecinueve', 'de', 'abril', 'a', 'las', 'nueve', 'de', 'la', 'noche']","['he', 'de', 'marcharme', 'el', 'viernes', 'diecinueve', 'de', 'abril', 'a', 'las', 'nueve', 'de', 'la', 'noche']","['i', 'should', 'leave', 'on', 'friday', 'april', 'the', 'nineteenth', 'at', 'nine', 'in', 'the', 'evening']"
288,"Pienso que se ha equivocado en la cuenta.
","['pienso', 'que', 'se', 'ha', 'equivocado', 'en', 'la', 'cuenta']","['pienso', 'que', 'se', 'ha', 'equivocado', 'en', 'la', 'cuenta']","['i', 'think', 'that', 'a', 'mistake', 'has', 'been', 'made', 'in', 'the', 'bill']"
289,"Por favor, me gustaría cambiarme de habitación.
","['por', 'favor', 'me', 'gustaría', 'cambiarme', 'de', 'habitación']","['por', 'favor', 'me', 'gustaría', 'cambiarme', 'de', 'habitación']","['i', 'would', 'like', 'to', 'change', 'rooms', 'please']"
290,"¿Está apuntado el teléfono?
","['está', 'apuntado', 'el', 'teléfono']","['está', 'apuntado', 'el', 'teléfono']","['is', 'the', 'phone', 'bill', 'included']"
291,"Por favor, ¿me puede usted despertar a las dos menos cuarto?
","['por', 'favor', 'me', 'puede', 'usted', 'despertar', 'a', 'las', 'dos', 'menos', 'cuarto']","['por', 'favor', 'me', 'puede', 'usted', 'despertar', 'a', 'las', 'dos', 'menos', 'cuarto']","['can', 'you', 'wake', 'me', 'up', 'at', 'a', 'quarter', 'to', 'two', 'please']"
292,"Vamos a marcharnos el día siete a las once y media de la noche.
","['vamos', 'a', 'marcharnos', 'el', 'día', 'siete', 'a', 'las', 'once', 'y', 'media', 'de', 'la', 'noche']","['vamos', 'a', 'marcharnos', 'el', 'día', 'siete', 'a', 'las', 'once', 'y', 'media', 'de', 'la', 'noche']","['we', 'are', 'leaving', 'on', 'the', 'seventh', 'at', 'half', 'past', 'eleven', 'in', 'the', 'evening']"
293,"Desearía que nos despertasen a las tres y media, por favor.
","['desearía', 'que', 'nos', 'despertasen', 'a', 'las', 'tres', 'y', 'media', 'por', 'favor']","['desearía', 'que', 'nos', 'despertasen', 'a', 'las', 'tres', 'y', 'media', 'por', 'favor']","['i', 'would', 'like', 'you', 'to', 'wake', 'us', 'up', 'at', 'half', 'past', 'three', 'please']"
294,"Hemos de irnos mañana a las nueve.
","['hemos', 'de', 'irnos', 'mañana', 'a', 'las', 'nueve']","['hemos', 'de', 'irnos', 'mañana', 'a', 'las', 'nueve']","['we', 'should', 'leave', 'tomorrow', 'at', 'nine']"
295,"¿Hay servicio de bar en la habitación?
","['hay', 'servicio', 'de', 'bar', 'en', 'la', 'habitación']","['hay', 'servicio', 'de', 'bar', 'en', 'la', 'habitación']","['is', 'there', 'a', 'minibar', 'in', 'the', 'room']"
296,"Reservamos una habitación hasta el próximo jueves, por favor.
","['reservamos', 'una', 'habitación', 'hasta', 'el', 'próximo', 'jueves', 'por', 'favor']","['reservamos', 'una', 'habitación', 'hasta', 'el', 'próximo', 'jueves', 'por', 'favor']","['we', 'booked', 'a', 'room', 'until', 'next', 'thursday']"
297,"Por favor, ¿le importaría mostrarme una habitación doble con televisión?
","['por', 'favor', 'le', 'importaría', 'mostrarme', 'una', 'habitación', 'doble', 'con', 'televisión']","['por', 'favor', 'le', 'importaría', 'mostrarme', 'una', 'habitación', 'doble', 'con', 'televisión']","['would', 'you', 'mind', 'showing', 'me', 'a', 'double', 'room', 'with', 'a', 'tv', 'please']"
298,"Creo que hay un error en la factura de la habitación ocho tres ocho.
","['creo', 'que', 'hay', 'un', 'error', 'en', 'la', 'factura', 'de', 'la', 'habitación', 'ocho', 'tres', 'ocho']","['creo', 'que', 'hay', 'un', 'error', 'en', 'la', 'factura', 'de', 'la', 'habitación', 'ocho', 'tres', 'ocho']","['i', 'think', 'that', 'there', 'is', 'an', 'error', 'in', 'the', 'bill', 'for', 'room', 'number', 'eight', 'three', 'eight']"
299,"Por favor, háganos la cuenta de la habitación novecientos uno.
","['por', 'favor', 'háganos', 'la', 'cuenta', 'de', 'la', 'habitación', 'novecientos', 'uno']","['por', 'favor', 'háganos', 'la', 'cuenta', 'de', 'la', 'habitación', 'novecientos', 'uno']","['could', 'you', 'make', 'out', 'the', 'bill', 'for', 'room', 'number', 'nine', 'oh', 'one', 'for', 'us', 'please']"
300,"Quisiera reservar una habitación individual y tranquila hasta el uno de noviembre, por favor.
","['quisiera', 'reservar', 'una', 'habitación', 'individual', 'y', 'tranquila', 'hasta', 'el', 'uno', 'de', 'noviembre', 'por', 'favor']","['quisiera', 'reservar', 'una', 'habitación', 'individual', 'y', 'tranquila', 'hasta', 'el', 'uno', 'de', 'noviembre', 'por', 'favor']","['i', 'want', 'to', 'book', 'a', 'quiet', 'single', 'room', 'until', 'november', 'the', 'first', 'please']"
301,"Por favor, he reservado una habitación tranquila individual con vistas a la montaña y televisión a nombre de la señora Gómez.
","['por', 'favor', 'he', 'reservado', 'una', 'habitación', 'tranquila', 'individual', 'con', 'vistas', 'a', 'la', 'montaña', 'y', 'televisión', 'a', 'nombre', 'de', 'la', 'señora', 'gómez']","['por', 'favor', 'he', 'reservado', 'una', 'habitación', 'tranquila', 'individual', 'con', 'vistas', 'a', 'la', 'montaña', 'y', 'televisión', 'a', 'nombre', 'de', 'la', 'señora', 'gómez']","['i', 'have', 'booked', 'a', 'quiet', 'single', 'room', 'with', 'a', 'view', 'of', 'the', 'mountain', 'and', 'a', 'tv', 'for', 'mrs', 'gómez']"
302,"Por favor, he hecho una reserva.
","['por', 'favor', 'he', 'hecho', 'una', 'reserva']","['por', 'favor', 'he', 'hecho', 'una', 'reserva']","['i', 'have', 'made', 'a', 'reservation']"
303,"¿Podría reservar una habitación?
","['podría', 'reservar', 'una', 'habitación']","['podría', 'reservar', 'una', 'habitación']","['could', 'i', 'book', 'a', 'room']"
304,"Vamos a marcharnos el lunes diecinueve de abril por la mañana.
","['vamos', 'a', 'marcharnos', 'el', 'lunes', 'diecinueve', 'de', 'abril', 'por', 'la', 'mañana']","['vamos', 'a', 'marcharnos', 'el', 'lunes', 'diecinueve', 'de', 'abril', 'por', 'la', 'mañana']","['we', 'are', 'leaving', 'on', 'monday', 'april', 'the', 'nineteenth', 'in', 'the', 'morning']"
305,"Tengo reservada una habitación tranquila.
","['tengo', 'reservada', 'una', 'habitación', 'tranquila']","['tengo', 'reservada', 'una', 'habitación', 'tranquila']","['i', 'have', 'booked', 'a', 'quiet', 'room']"
306,"Por favor, me hace mi cuenta.
","['por', 'favor', 'me', 'hace', 'mi', 'cuenta']","['por', 'favor', 'me', 'hace', 'mi', 'cuenta']","['could', 'you', 'make', 'out', 'my', 'bill', 'for', 'me', 'please']"
307,"Tengo que irme hoy a las once y media de la mañana.
","['tengo', 'que', 'irme', 'hoy', 'a', 'las', 'once', 'y', 'media', 'de', 'la', 'mañana']","['tengo', 'que', 'irme', 'hoy', 'a', 'las', 'once', 'y', 'media', 'de', 'la', 'mañana']","['i', 'should', 'leave', 'today', 'at', 'half', 'past', 'eleven', 'in', 'the', 'morning']"
308,"¿Podrían preparar la cuenta?, por favor.
","['podrían', 'preparar', 'la', 'cuenta', 'por', 'favor']","['podrían', 'preparar', 'la', 'cuenta', 'por', 'favor']","['could', 'you', 'prepare', 'the', 'bill', 'please']"
309,"¿Tienen libre alguna habitación?
","['tienen', 'libre', 'alguna', 'habitación']","['tienen', 'libre', 'alguna', 'habitación']","['do', 'you', 'have', 'a', 'room', 'available']"
310,"Creo que se ha equivocado en nuestra cuenta de la habitación quinientos quince.
","['creo', 'que', 'se', 'ha', 'equivocado', 'en', 'nuestra', 'cuenta', 'de', 'la', 'habitación', 'quinientos', 'quince']","['creo', 'que', 'se', 'ha', 'equivocado', 'en', 'nuestra', 'cuenta', 'de', 'la', 'habitación', 'quinientos', 'quince']","['i', 'think', 'that', 'a', 'mistake', 'has', 'been', 'made', 'in', 'our', 'bill', 'for', 'room', 'number', 'five', 'one', 'five']"
311,"Por favor, quisiera reservar una habitación.
","['por', 'favor', 'quisiera', 'reservar', 'una', 'habitación']","['por', 'favor', 'quisiera', 'reservar', 'una', 'habitación']","['i', 'want', 'to', 'book', 'a', 'room', 'please']"
312,"¿Tienen una habitación libre?
","['tienen', 'una', 'habitación', 'libre']","['tienen', 'una', 'habitación', 'libre']","['do', 'you', 'have', 'a', 'room', 'available']"
313,"¿Están anotados en el recibo los extras?
","['están', 'anotados', 'en', 'el', 'recibo', 'los', 'extras']","['están', 'anotados', 'en', 'el', 'recibo', 'los', 'extras']","['are', 'extras', 'included', 'in', 'the', 'bill']"
314,"Tengo reservada una habitación.
","['tengo', 'reservada', 'una', 'habitación']","['tengo', 'reservada', 'una', 'habitación']","['i', 'have', 'booked', 'a', 'room']"
315,"Hemos hecho una reserva.
","['hemos', 'hecho', 'una', 'reserva']","['hemos', 'hecho', 'una', 'reserva']","['we', 'have', 'made', 'a', 'reservation']"
316,"Por favor, ¿pueden pedirme mi taxi para la habitación setecientos dieciséis?
","['por', 'favor', 'pueden', 'pedirme', 'mi', 'taxi', 'para', 'la', 'habitación', 'setecientos', 'dieciséis']","['por', 'favor', 'pueden', 'pedirme', 'mi', 'taxi', 'para', 'la', 'habitación', 'setecientos', 'dieciséis']","['can', 'you', 'ask', 'for', 'my', 'taxi', 'for', 'room', 'number', 'seven', 'one', 'six', 'for', 'me', 'please']"
317,"¿Puede despertarme a las cuatro y cuarto?
","['puede', 'despertarme', 'a', 'las', 'cuatro', 'y', 'cuarto']","['puede', 'despertarme', 'a', 'las', 'cuatro', 'y', 'cuarto']","['can', 'you', 'wake', 'me', 'up', 'at', 'a', 'quarter', 'past', 'four']"
318,"¿Están incluidos en la factura todos los impuestos?
","['están', 'incluidos', 'en', 'la', 'factura', 'todos', 'los', 'impuestos']","['están', 'incluidos', 'en', 'la', 'factura', 'todos', 'los', 'impuestos']","['are', 'all', 'taxes', 'included', 'in', 'the', 'bill']"
319,"¿Está incluido el desayuno?
","['está', 'incluido', 'el', 'desayuno']","['está', 'incluido', 'el', 'desayuno']","['is', 'breakfast', 'included']"
320,"Reservé una habitación a nombre del señor Gerardo Paches.
","['reservé', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'gerardo', 'paches']","['reservé', 'una', 'habitación', 'a', 'nombre', 'del', 'señor', 'gerardo', 'paches']","['i', 'booked', 'a', 'room', 'for', 'mr', 'gerardo', 'paches']"
321,"He reservado una habitación individual a nombre del señor Fernández.
","['he', 'reservado', 'una', 'habitación', 'individual', 'a', 'nombre', 'del', 'señor', 'fernández']","['he', 'reservado', 'una', 'habitación', 'individual', 'a', 'nombre', 'del', 'señor', 'fernández']","['i', 'have', 'booked', 'a', 'single', 'room', 'for', 'mr', 'fernández']"
322,"Me iré el dieciocho a las siete menos cuarto de la mañana.
","['me', 'iré', 'el', 'dieciocho', 'a', 'las', 'siete', 'menos', 'cuarto', 'de', 'la', 'mañana']","['me', 'iré', 'el', 'dieciocho', 'a', 'las', 'siete', 'menos', 'cuarto', 'de', 'la', 'mañana']","['i', 'leave', 'on', 'the', 'eighteenth', 'at', 'a', 'quarter', 'to', 'seven', 'in', 'the', 'morning']"
323,"Por favor, ¿nos podría dar la llave de la seis cuatro siete?
","['por', 'favor', 'nos', 'podría', 'dar', 'la', 'llave', 'de', 'la', 'seis', 'cuatro', 'siete']","['por', 'favor', 'nos', 'podría', 'dar', 'la', 'llave', 'de', 'la', 'seis', 'cuatro', 'siete']","['could', 'you', 'give', 'us', 'the', 'key', 'to', 'room', 'number', 'six', 'four', 'seven', 'please']"
324,"¿Podríamos ver una habitación, por favor?
","['podríamos', 'ver', 'una', 'habitación', 'por', 'favor']","['podríamos', 'ver', 'una', 'habitación', 'por', 'favor']","['could', 'we', 'see', 'a', 'room', 'please']"
325,"¿Pueden llevarnos nuestro equipaje al autobús?
","['pueden', 'llevarnos', 'nuestro', 'equipaje', 'al', 'autobús']","['pueden', 'llevarnos', 'nuestro', 'equipaje', 'al', 'autobús']","['can', 'you', 'send', 'our', 'luggage', 'to', 'the', 'bus']"
326,"Me marcharé el viernes uno a las tres.
","['me', 'marcharé', 'el', 'viernes', 'uno', 'a', 'las', 'tres']","['me', 'marcharé', 'el', 'viernes', 'uno', 'a', 'las', 'tres']","['i', 'leave', 'on', 'friday', 'the', 'first', 'at', 'three']"
327,"¿Pueden ustedes bajarme mis bultos a la habitación?
","['pueden', 'ustedes', 'bajarme', 'mis', 'bultos', 'a', 'la', 'habitación']","['pueden', 'ustedes', 'bajarme', 'mis', 'bultos', 'a', 'la', 'habitación']","['can', 'you', 'send', 'down', 'my', 'luggage', 'to', 'the', 'room']"
328,"¿Cuánto vale una habitación doble por día, por favor?
","['cuánto', 'vale', 'una', 'habitación', 'doble', 'por', 'día', 'por', 'favor']","['cuánto', 'vale', 'una', 'habitación', 'doble', 'por', 'día', 'por', 'favor']","['how', 'much', 'is', 'a', 'double', 'room', 'per', 'day', 'please']"
329,"En la habitación hay mucho ruido.
","['en', 'la', 'habitación', 'hay', 'mucho', 'ruido']","['en', 'la', 'habitación', 'hay', 'mucho', 'ruido']","['there', 'is', 'a', 'lot', 'of', 'noise', 'in', 'the', 'room']"
330,"¿Está incluida la cuenta del teléfono?
","['está', 'incluida', 'la', 'cuenta', 'del', 'teléfono']","['está', 'incluida', 'la', 'cuenta', 'del', 'teléfono']","['is', 'the', 'phone', 'bill', 'included']"
331,"La habitación está bien.
","['la', 'habitación', 'está', 'bien']","['la', 'habitación', 'está', 'bien']","['the', 'room', 'is', 'all', 'right']"
332,"Por favor, ¿hay agua caliente en las habitaciones?
","['por', 'favor', 'hay', 'agua', 'caliente', 'en', 'las', 'habitaciones']","['por', 'favor', 'hay', 'agua', 'caliente', 'en', 'las', 'habitaciones']","['is', 'there', 'hot', 'water', 'in', 'the', 'rooms', 'please']"
333,"¿Le importaría cambiarme de habitación?
","['le', 'importaría', 'cambiarme', 'de', 'habitación']","['le', 'importaría', 'cambiarme', 'de', 'habitación']","['would', 'you', 'mind', 'changing', 'my', 'room']"
334,"¿Me sube mis bolsas de viaje al taxi?
","['me', 'sube', 'mis', 'bolsas', 'de', 'viaje', 'al', 'taxi']","['me', 'sube', 'mis', 'bolsas', 'de', 'viaje', 'al', 'taxi']","['could', 'you', 'put', 'my', 'travel', 'bags', 'in', 'the', 'taxi']"
335,"Por favor, querríamos que nos despertaran a las ocho menos cuarto.
","['por', 'favor', 'querríamos', 'que', 'nos', 'despertaran', 'a', 'las', 'ocho', 'menos', 'cuarto']","['por', 'favor', 'querríamos', 'que', 'nos', 'despertaran', 'a', 'las', 'ocho', 'menos', 'cuarto']","['we', 'would', 'like', 'you', 'to', 'wake', 'us', 'up', 'at', 'a', 'quarter', 'to', 'eight', 'please']"
336,"En la habitación hace mucho calor.
","['en', 'la', 'habitación', 'hace', 'mucho', 'calor']","['en', 'la', 'habitación', 'hace', 'mucho', 'calor']","['it', 'is', 'very', 'hot', 'in', 'the', 'room']"
337,"Queremos cambiar la habitación.
","['queremos', 'cambiar', 'la', 'habitación']","['queremos', 'cambiar', 'la', 'habitación']","['we', 'want', 'to', 'change', 'rooms']"
338,"Súbame mis bolsas al autobús.
","['súbame', 'mis', 'bolsas', 'al', 'autobús']","['súbame', 'mis', 'bolsas', 'al', 'autobús']","['put', 'my', 'bags', 'on', 'the', 'bus']"
339,"¿Tiene aire acondicionado mi habitación?
","['tiene', 'aire', 'acondicionado', 'mi', 'habitación']","['tiene', 'aire', 'acondicionado', 'mi', 'habitación']","['does', 'my', 'room', 'have', 'air', 'conditioning']"
340,"Despiérteme a las seis.
","['despiérteme', 'a', 'las', 'seis']","['despiérteme', 'a', 'las', 'seis']","['wake', 'me', 'up', 'at', 'six']"
341,"Voy a irme mañana a las tres menos cuarto de la tarde.
","['voy', 'a', 'irme', 'mañana', 'a', 'las', 'tres', 'menos', 'cuarto', 'de', 'la', 'tarde']","['voy', 'a', 'irme', 'mañana', 'a', 'las', 'tres', 'menos', 'cuarto', 'de', 'la', 'tarde']","['i', 'am', 'leaving', 'tomorrow', 'at', 'a', 'quarter', 'to', 'three', 'in', 'the', 'afternoon']"
342,"¿Hay habitaciones libres?
","['hay', 'habitaciones', 'libres']","['hay', 'habitaciones', 'libres']","['are', 'there', 'any', 'rooms', 'available']"
